"What is the national flower of Malaysia?","Rafflesia","Rafflesia","Orchid","Tulip","Hibiscus"
"What is the legal age for voting in Singapore?","25","18","25","20","21"
"Which Thai festival is known for water fights?","Songkran","Loi Krathong","Songkran","Vesak","Phi Ta Khon"
"In Malaysia, which island is known for its beautiful beaches and clear waters?","Langkawi","Langkawi","Penang","Borneo","Sumatra"
"What is the name of the river that flows through Bangkok, Thailand?","Chao Phraya River","Mekong River","Nile River","Irrawaddy River","Chao Phraya River"
"What is the currency of Singapore?","Thai Baht","Thai Baht","Malaysian Ringgit","Indonesian Rupiah","Singapore Dollar"
"Which language is most commonly spoken in Malaysia?","Malay (Bahasa Malaysia)","English","Mandarin","Malay (Bahasa Malaysia)","Tamil"
"In which year did Singapore gain independence from Malaysia?","1965","1957","1965","1971","1980"
"What is the name of the iconic twin towers in Kuala Lumpur?","Petronas Towers","Petronas Towers","Singapore Flyer","Merlion Towers","Marina Bay Sands"
"What is the official religion of Thailand?","Buddhism","Christianity","Islam","Hinduism","Buddhism"
"Which Malaysian state is famous for its tea plantations?","Cameron Highlands","Penang","Melaka","Cameron Highlands","Langkawi"
"What is the official religion of Malaysia?","Islam","Buddhism","Islam","Christianity","Hinduism"
"Which Thai dish is made from stir-fried noodles, shrimp, and peanuts?","Pad Thai","Green Curry","Tom Yum","Massaman Curry","Pad Thai"
"What is the name of the famous river market in Thailand?","Damnoen Saduak","Damnoen Saduak","Chao Phraya","Kwai River","Mae Klong"
"What is the national animal of Singapore?","Merlion","Lion","Tiger","Merlion","Elephant"
"In Malaysia, which island is known for its historical heritage and UNESCO-listed George Town?","Penang","Penang","Langkawi","Redang","Tioman"
"Which Thai festival is known for releasing lanterns into the sky?","Loi Krathong","Songkran","Vesak","Loi Krathong","Magha Puja"
"What is the nickname for Singapore due to its strict laws and regulations?","Fine City","Garden City","Fine City","Merlion City","Lion City"
"In which Malaysian state can you find the famous Batu Caves?","Selangor","Selangor","Melaka","Johor","Pahang"
"What is the national sport of Thailand?","Muay Thai (Thai Boxing)","Badminton","Sepak Takraw (Kick Volleyball)","Cricket","Muay Thai (Thai Boxing)"
"What is the traditional clothing worn by Malays in Malaysia?","Baju Melayu","Barong Tagalog","Sampot","Shalwar Kameez","Baju Melayu"
"Which Thai temple complex is known for its reclining Buddha statue?","Wat Pho","Wat Suthat","Wat Pho","Wat Phra Kaew","Wat Arun"
"What is the name of the Malaysian dish consisting of spiced rice and a variety of side dishes?","Nasi Lemak","Nasi Lemak","Nasi Goreng","Mee Goreng","Laksa"
"Which river is the longest in Thailand?","Chao Phraya River","Mekong River","Nan River","Mekong River","Yom River"
"What is the official language of Singapore?","Malay","English","Mandarin","Tamil","English"
"Which Thai island is known for its full moon parties?","Koh Samui","Koh Phi Phi","Koh Tao","Koh Samui","Koh Phangan"
"What is the name of the Singaporean dish made of stir-fried rice noodles, eggs, shrimp, and vegetables?","Char Kway Teow","Char Kway Teow","Hainanese Chicken Rice","Laksa","Satay"
"Which Thai city is famous for its annual flower festival?","Chiang Mai","Pattaya","Chiang Mai","Bangkok","Phuket"
"What is the official name of Malaysia's national anthem?","Negaraku","Negaraku","Rukunegara","Jalur Gemilang","Majulah Singapura"
"What is the largest island in Thailand?","Phuket","Koh Samui","Koh Chang","Koh Tao","Phuket"
"In Singapore, what is the iconic symbol that combines a lion's head and a fish body?","Mermaid","Mermaidon","Merlion","Merphish","Merlion"
"What is the name of the famous street food district in Bangkok, Thailand?","Khaosan Road","Sukhumvit Road","Silom Road","Patpong Road","Khaosan Road"
"What is the national animal of Malaysia?","Orangutan","Orangutan","Pygmy Elephant","Hornbill","Malayan Tiger"
"In Singapore, what is the name of the iconic Ferris wheel?","Singapore Eye","Singapore Eye","Singapore Wheel","Singapore Sky","Singapore Flyer"
"What is the national dish of Thailand?","Pad Thai","Green Curry","Pad Thai","Massaman Curry","Som Tum (Papaya Salad)"
"In Malaysia, which state is famous for its Batik art and culture?","Kelantan","Kelantan","Terengganu","Sarawak","Perak"
"What is the name of the annual water festival celebrated in Thailand?","Songkran","Loi Krathong","Vesak","Magha Puja","Songkran"
"What is the national flower of Thailand?","Orchid","Orchid","Lotus","Rafflesia","Sunflower"
"Which island in Malaysia is known for its diverse marine life and coral reefs?","Tioman Island","Penang Island","Tioman Island","Langkawi Island","Redang Island"
"What is the currency of Thailand?","Baht","Dirham","Kip","Baht","Dong"
"Which famous Malaysian dish is a fragrant rice dish cooked with coconut milk and pandan leaves?","Nasi Kandar","Nasi Lemak","Nasi Kandar","Nasi Goreng","Nasi Kerabu",
"What is the name of the highest mountain in Thailand?","Doi Inthanon","Doi Suthep","Doi Pui","Doi Inthanon","Doi Tung"
"In which year did Singapore become an independent republic?","1965","1957","1971","1980","1965"
"What is the official name of Thailand?","Kingdom of Thailand","Republic of Thailand","Empire of Thailand","Union of Thailand","Kingdom of Thailand"
"Which Malaysian state is known for its delicious durians?","Johor","Johor","Kedah","Perak","Pahang"
"What is the traditional Thai greeting?","Sawasdee Krub (for males) / Sawasdee Ka (for females)","Kop khun krub","Sawasdee Krub (for males) / Sawasdee Ka (for females)","Ka pun krub","Suk san wan song wan"
"Which island country is located to the south of Singapore?","Indonesia","Philippines","Brunei","Maldives","Indonesia"
